BIOME_NAME,District,Is Monitor,Name,State,Year Spp,calculated,nci
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5986,ANDHRA_PRADESH,2021_Sandalwood,0.3645812729,169.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6341,ANDHRA_PRADESH,"2022_Jamun,2022_Sapota",0.2783324835,559.1773071
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4890,ANDHRA_PRADESH,"2020_Cashew,2020_Mango",0.3721566176,163.8419952
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4037,ANDHRA_PRADESH,2020_Eucalyptus,0.9263267008,44.77459717
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,53780,ANDHRA_PRADESH,2020_CASHEW,0.226890216,58.95814133
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,3956,ANDHRA_PRADESH,2020_CASHEW,0.2171412121,164.4463196
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,6322,ANDHRA_PRADESH,2020_CASHEW,0.260649257,183.9589691
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,31202,ANDHRA_PRADESH,2020_CASHEW,0.3412284223,223.9172974
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,5693,ANDHRA_PRADESH,2020_CASHEW,1.514763078,292.7796631
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,6393,ANDHRA_PRADESH,2020_CASHEW,0.5627668106,87.44632721
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,31142,ANDHRA_PRADESH,2020_CASHEW,0.9930059898,212.1129761
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3179,ANDHRA_PRADESH,2020_Cashew,0.2321805495,299.5645752
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3309,ANDHRA_PRADESH,2020_Cashew,0.2790253083,176.7745819
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3366,ANDHRA_PRADESH,2020_Cashew,0.4109392776,213.4412537
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5820,ANDHRA_PRADESH,2020_Cashew,0.1737596524,120.2781677
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6038,ANDHRA_PRADESH,2020_Cashew,0.1406619241,199.8439484
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5321,ANDHRA_PRADESH,2020_Cashew,0.1599345672,163.1772766
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5845,ANDHRA_PRADESH,2020_Cashew,1.041173023,355.1129761
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5678,ANDHRA_PRADESH,2020_Cashew,0.3144335177,80.11299896
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5736,ANDHRA_PRADESH,2020_Cashew,0.7916906191,36.11300278
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5923,ANDHRA_PRADESH,2020_Cashew,0.5225201099,36.11299133
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5940,ANDHRA_PRADESH,2020_Cashew,0.7582554802,132.4828339
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5968,ANDHRA_PRADESH,2020_Cashew,0.6194435947,84.81614685
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2136,ANDHRA_PRADESH,2020_Cashew,0.3209817125,125.1494904
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2137,ANDHRA_PRADESH,2020_Cashew,0.247942633,139.8161469
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3057,ANDHRA_PRADESH,2020_Cashew,0.5137708213,87.44633484
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3798,ANDHRA_PRADESH,2020_Cashew,0.3339873581,110.2914734
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3810,ANDHRA_PRADESH,2020_Cashew,0.6237647067,99.29147339
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3845,ANDHRA_PRADESH,2020_Cashew,0.9309364865,110.4828186
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3954,ANDHRA_PRADESH,2020_Cashew,0.3353612889,127.7796555
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4715,ANDHRA_PRADESH,2020_Cashew,0.9700346362,182.7796478
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4720,ANDHRA_PRADESH,2020_Cashew,0.7482147926,120.446312
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3052,ANDHRA_PRADESH,2020_Cashew,0.1757245408,366.1129761
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2888,ANDHRA_PRADESH,2020_Cashew,0.1916607585,109.4463272
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2914,ANDHRA_PRADESH,2020_Cashew,0.4104813852,124.1129913
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3041,ANDHRA_PRADESH,2020_Cashew,0.3272757296,83.77964783
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3073,ANDHRA_PRADESH,2020_Cashew,0.1572802623,80.1129837
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2912,ANDHRA_PRADESH,2020_Cashew,0.4321071449,109.4463272
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4270,ANDHRA_PRADESH,2020_Cashew,0.2067011322,131.4463196
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2866,ANDHRA_PRADESH,2020_Cashew,0.1506159124,102.112999
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3042,ANDHRA_PRADESH,2020_Cashew,0.5370377004,124.9581299
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4257,ANDHRA_PRADESH,2020_Cashew,0.2203162412,131.4463196
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3847,ANDHRA_PRADESH,2020_Cashew,0.1675363759,84.81614685
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3857,ANDHRA_PRADESH,2020_Cashew,0.8539417291,245.1129913
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2893,ANDHRA_PRADESH,2020_Cashew,0.8080705642,109.4463272
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2135,ANDHRA_PRADESH,2020_Cashew,0.270785736,114.1494904
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4444,ANDHRA_PRADESH,2020_Cashew,0.3803883265,51.81615067
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2933,ANDHRA_PRADESH,2020_Cashew,0.2850897247,256.1130066
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2874,ANDHRA_PRADESH,2020_Cashew,1.172559319,202.1494904
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3854,ANDHRA_PRADESH,2020_Cashew,0.4821096297,208.4463196
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3036,ANDHRA_PRADESH,2020_Cashew,0.2960152247,234.1129913
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2926,ANDHRA_PRADESH,2020_Cashew,0.2780014247,98.44632721
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3804,ANDHRA_PRADESH,2020_Cashew,0.1669983075,127.7796478
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3045,ANDHRA_PRADESH,2020_Cashew,0.2630477991,91.11299896
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3071,ANDHRA_PRADESH,2020_Cashew,0.5395572406,245.1129913
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6524,ANDHRA_PRADESH,2020_Cashew,0.3179733082,282.9589539
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1439,ANDHRA_PRADESH,2020_Cashew,0.3349680836,367.2922974
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1496,ANDHRA_PRADESH,2020_Cashew,0.1433916157,136.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1503,ANDHRA_PRADESH,2020_Cashew,0.2601516791,136.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1523,ANDHRA_PRADESH,2020_Cashew,0.2875554402,346.0005798
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1580,ANDHRA_PRADESH,2020_Cashew,0.1793118092,158.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2836,ANDHRA_PRADESH,2020_Cashew,0.5570977546,323.7986755
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3277,ANDHRA_PRADESH,2020_Cashew,0.1734510836,136.7986603
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3751,ANDHRA_PRADESH,2020_Cashew,0.5806623093,463.1319885
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5354,ANDHRA_PRADESH,2020_Cashew,1.163829406,95.95896912
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5383,ANDHRA_PRADESH,2020_Cashew,0.3813842691,257.2922974
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1803,ANDHRA_PRADESH,2020_Cashew,0.1448817169,319.6256409
